[Mourad\155\Foam\Open\BDS01852.txt]
1200 samples
60 Markov chains

(1,4)(1,4)(1,4)(1,3)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,3)(1,3)(1,4)(1,4)(1,5)(1,5)(1,3)(1,2)(1,1)(1,1)
(1,1)(1,2)(1,4)(1,8)(1,10)(1,8)(1,5)(2,6)(2,6)(2,7)(4,7)(5,5)(5,3)(7,3)(10,3)(6,4)(2,5)(1,5)(2,4)(1,4)(2,6)
(2,6)(2,6)(1,4)(1,2)(1,1)(1,1)(1,2)(1,2)(1,4)(1,4)(1,3)(1,3)(1,2)(1,3)(3,5)(5,7)(5,6)(5,6)(5,8)(3,7)(2,5)
(2,5)(1,2)(1,1)(1,2)(1,2)(1,4)(1,2)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,5)(1,4)(1,3)(1,3)(2,3)(3,5)(4,5)(5,4)
(5,4)(4,3)(1,1)(2,2)(5,3)(7,4)(5,5)(4,4)(3,4)(3,4)(2,4)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,1)(1,2)(1,3)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,3)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(2,3)(2,2)(2,2)(1,2)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,3)(1,3)(1,3)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,3)(2,2)(1,2)(1,1)(1,1)(2,2)(2,3)
(2,3)(2,2)(1,2)(1,3)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)
