BDS00270;23;Firm;Closed
BDS00271;23;Firm;Open
BDS00272;23;Firm;Open
BDS00273;23;Firm;Open
BDS00274;23;Foam;Closed
BDS00275;23;Foam;Closed
BDS00276;23;Foam;Closed
BDS00277;24;Foam;Open
BDS00278;24;Foam;Open
BDS00279;24;Foam;Open
BDS00280;24;Firm;Open
BDS00281;24;Firm;Open
BDS00282;24;Firm;Open
BDS00283;24;Firm;Closed
BDS00284;24;Firm;Closed
BDS00285;24;Firm;Closed
BDS00286;24;Foam;Closed
BDS00287;24;Foam;Closed
BDS00288;24;Foam;Closed
BDS00289;25;Foam;Open
BDS00290;25;Foam;Open
BDS00291;25;Foam;Open
BDS00292;25;Firm;Open
BDS00293;25;Firm;Open
BDS00294;25;Firm;Open
BDS00295;25;Foam;Closed
BDS00296;25;Foam;Closed
BDS00297;25;Foam;Closed
BDS00298;25;Firm;Closed
BDS00299;25;Firm;Closed
BDS00300;25;Firm;Closed
BDS00301;26;Foam;Closed
BDS00302;26;Foam;Closed
BDS00303;26;Foam;Closed
BDS00304;26;Firm;Closed
BDS00305;26;Firm;Closed
BDS00306;26;Firm;Closed
BDS00307;26;Foam;Open
BDS00308;26;Foam;Open
BDS00309;26;Foam;Open
BDS00310;26;Firm;Open
BDS00311;26;Firm;Open
BDS00312;26;Firm;Open
BDS00313;27;Firm;Closed
BDS00314;27;Firm;Closed
BDS00315;27;Firm;Closed
BDS00316;27;Foam;Open
BDS00317;27;Foam;Open
BDS00318;27;Foam;Open
BDS00319;27;Firm;Open
BDS00320;27;Firm;Open
BDS00321;27;Firm;Open
BDS00322;27;Foam;Closed
BDS00323;27;Foam;Closed
BDS00324;27;Foam;Closed
BDS00325;28;Foam;Closed
BDS00326;28;Foam;Closed
BDS00327;28;Foam;Closed
BDS00328;28;Firm;Closed
BDS00329;28;Firm;Closed
BDS00330;28;Firm;Closed
BDS00331;28;Foam;Open
BDS00332;28;Foam;Open
BDS00333;28;Foam;Open
BDS00334;28;Firm;Open
BDS00335;28;Firm;Open
BDS00336;28;Firm;Open
BDS00337;29;Foam;Open
BDS00338;29;Foam;Open
BDS00339;29;Foam;Open
BDS00340;29;Firm;Closed
BDS00341;29;Firm;Closed
BDS00342;29;Firm;Closed
BDS00343;29;Foam;Closed
BDS00344;29;Foam;Closed
BDS00345;29;Foam;Closed
BDS00346;29;Firm;Open
BDS00347;29;Firm;Open
BDS00348;29;Firm;Open
BDS00349;30;Foam;Open
BDS00350;30;Foam;Open
BDS00351;30;Foam;Open
BDS00352;30;Foam;Closed
BDS00353;30;Foam;Closed
BDS00354;30;Foam;Closed
BDS00355;30;Firm;Closed
BDS00356;30;Firm;Closed
BDS00357;30;Firm;Closed
BDS00358;30;Firm;Open
BDS00359;30;Firm;Open
BDS00360;30;Firm;Open
BDS00361;31;Foam;Open
BDS00362;31;Foam;Open
BDS00363;31;Foam;Open
BDS00364;31;Foam;Closed
BDS00365;31;Foam;Closed
BDS00366;31;Foam;Closed
BDS00367;31;Firm;Closed
BDS00368;31;Firm;Closed
BDS00369;31;Firm;Closed
BDS00370;31;Firm;Open
BDS00371;31;Firm;Open
BDS00372;31;Firm;Open
BDS00373;32;Foam;Closed
BDS00374;32;Foam;Closed
BDS00375;32;Foam;Closed
BDS00376;32;Firm;Closed
BDS00377;32;Firm;Closed
BDS00378;32;Firm;Closed
BDS00379;32;Foam;Open
BDS00380;32;Foam;Open
BDS00381;32;Foam;Open
BDS00382;32;Firm;Open
BDS00383;32;Firm;Open
BDS00384;32;Firm;Open
BDS00385;33;Foam;Closed
BDS00386;33;Foam;Closed
BDS00387;33;Foam;Closed
BDS00388;33;Firm;Closed
BDS00389;33;Firm;Closed
BDS00390;33;Firm;Closed
BDS00391;33;Firm;Open
BDS00392;33;Firm;Open
BDS00393;33;Firm;Open
BDS00394;33;Foam;Open
BDS00395;33;Foam;Open
BDS00396;33;Foam;Open
BDS00397;34;Firm;Open
BDS00398;34;Firm;Open
BDS00399;34;Firm;Open
BDS00400;34;Foam;Closed
BDS00401;34;Foam;Closed
BDS00402;34;Foam;Closed
BDS00403;34;Firm;Closed
BDS00404;34;Firm;Closed
BDS00405;34;Firm;Closed
BDS00406;34;Foam;Open
BDS00407;34;Foam;Open
BDS00408;34;Foam;Open
BDS00409;35;Firm;Closed
BDS00410;35;Firm;Closed
BDS00411;35;Firm;Closed
BDS00412;35;Foam;Open
BDS00413;35;Foam;Open
BDS00414;35;Foam;Open
BDS00415;35;Firm;Open
BDS00416;35;Firm;Open
BDS00417;35;Firm;Open
BDS00418;35;Foam;Closed
BDS00419;35;Foam;Closed
BDS00420;35;Foam;Closed
BDS00421;36;Firm;Closed
BDS00422;36;Firm;Closed
BDS00423;36;Firm;Closed
BDS00424;36;Foam;Open
BDS00425;36;Foam;Open
BDS00426;36;Foam;Open
BDS00427;36;Foam;Closed
BDS00428;36;Foam;Closed
BDS00429;36;Foam;Closed
BDS00430;36;Firm;Open
BDS00431;36;Firm;Open
BDS00432;36;Firm;Open
BDS00433;37;Foam;Closed
BDS00434;37;Foam;Closed
BDS00435;37;Foam;Closed
BDS00436;37;Firm;Closed
BDS00437;37;Firm;Closed
BDS00438;37;Firm;Closed
BDS00439;37;Firm;Open
BDS00440;37;Firm;Open
BDS00441;37;Firm;Open
BDS00442;37;Foam;Open
BDS00443;37;Foam;Open
BDS00444;37;Foam;Open
BDS00445;38;Firm;Open
BDS00446;38;Firm;Open
BDS00447;38;Firm;Open
BDS00448;38;Foam;Open
BDS00449;38;Foam;Open
BDS00450;38;Foam;Open
BDS00451;38;Firm;Closed
BDS00452;38;Firm;Closed
BDS00453;38;Firm;Closed
BDS00454;38;Foam;Closed
BDS00455;38;Foam;Closed
BDS00456;38;Foam;Closed
BDS00457;39;Firm;Open
BDS00458;39;Firm;Open
BDS00459;39;Firm;Open
BDS00460;39;Foam;Open
BDS00461;39;Foam;Open
BDS00462;39;Foam;Open
BDS00463;39;Firm;Closed
BDS00464;39;Firm;Closed
BDS00465;39;Firm;Closed
BDS00466;39;Foam;Closed
BDS00467;39;Foam;Closed
BDS00468;39;Foam;Closed
BDS00469;40;Foam;Open
BDS00470;40;Foam;Open
